MIN=0	0	0	-0.1	0	0	
MAX=15	30	10	13	30	5	
SCALE=5	10	5	5	10	1	
DEC=1	2	2	2	2	2	
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Collector Current" I_A / nA	"Acceleration Voltage" U_2 / V	"Frequency" f / Hz	
0	0.51	0.105	0.105	5.1	NAN	
0.1	0.03	0.11	0.11	0.3	NAN	
0.2	0.045	0.135	0.135	0.45	NAN	
0.3	0.06	1.63	1.63	0.6	NAN	
0.4	0.195	0.095	0.095	1.95	NAN	
0.5	0.135	0.08	0.08	1.35	NAN	
0.6	0.135	0.1	0.1	1.35	NAN	
0.7	0.165	0.12	0.12	1.65	NAN	
0.8	0.195	0.145	0.145	1.95	NAN	
0.9	0.225	0.2	0.2	2.25	NAN	
1	0.24	0.365	0.365	2.4	NAN	
1.1	0.27	0.465	0.465	2.7	NAN	
1.2	0.3	0.6	0.6	3	NAN	
1.3	0.33	0.785	0.785	3.3	NAN	
1.4	0.36	1	1	3.6	NAN	
1.5	0.375	1.255	1.255	3.75	NAN	
1.6	0.39	1.58	1.58	3.9	NAN	
1.7	0.42	1.815	1.815	4.2	NAN	
1.8	0.45	2.02	2.02	4.5	NAN	
1.9	0.48	1.935	1.935	4.8	NAN	
2	0.51	1.55	1.55	5.1	NAN	
2.1	0.525	1.045	1.045	5.25	NAN	
2.2	0.555	0.73	0.73	5.55	NAN	
2.3	0.585	0.47	0.47	5.85	NAN	
2.4	0.615	0.355	0.355	6.15	NAN	
2.5	0.63	0.365	0.365	6.3	NAN	
2.6	0.66	0.425	0.425	6.6	NAN	
2.7	0.69	0.555	0.555	6.9	NAN	
2.8	0.72	0.65	0.65	7.2	NAN	
2.9	0.735	0.91	0.91	7.35	NAN	
3	0.765	1.175	1.175	7.65	NAN	
3.1	0.78	1.57	1.57	7.8	NAN	
3.2	0.81	2	2	8.1	NAN	
3.3	0.84	2.525	2.525	8.4	NAN	
3.4	0.87	3.17	3.17	8.7	NAN	
3.5	0.9	3.815	3.815	9	NAN	
3.6	0.915	4.395	4.395	9.15	NAN	
3.7	0.945	4.595	4.595	9.45	NAN	
3.8	0.975	4.23	4.23	9.75	NAN	
3.9	1.005	3.43	3.43	10.05	NAN	
4	1.035	2.28	2.28	10.35	NAN	
4.1	1.05	1.395	1.395	10.5	NAN	
4.2	1.065	0.845	0.845	10.65	NAN	
4.3	1.095	0.535	0.535	10.95	NAN	
4.4	1.125	0.535	0.535	11.25	NAN	
4.5	1.155	0.695	0.695	11.55	NAN	
4.6	1.17	0.915	0.915	11.7	NAN	
4.7	1.2	1.21	1.21	12	NAN	
4.8	1.23	1.63	1.63	12.3	NAN	
4.9	1.26	2.12	2.12	12.6	NAN	
5	1.29	2.71	2.71	12.9	NAN	
5.1	1.305	3.405	3.405	13.05	NAN	
5.2	1.335	4.135	4.135	13.35	NAN	
5.3	1.365	4.975	4.975	13.65	NAN	
5.4	1.395	5.955	5.955	13.95	NAN	
5.5	1.41	6.775	6.775	14.1	NAN	
5.6	1.425	7.185	7.185	14.25	NAN	
5.7	1.455	7.015	7.015	14.55	NAN	
5.8	1.485	6.145	6.145	14.85	NAN	
5.9	1.515	4.76	4.76	15.15	NAN	
6	1.53	3.425	3.425	15.3	NAN	
6.1	1.56	2.365	2.365	15.6	NAN	
6.2	1.59	1.635	1.635	15.9	NAN	
6.3	1.62	1.2	1.2	16.2	NAN	
6.4	1.65	1.175	1.175	16.5	NAN	
6.5	1.665	1.32	1.32	16.65	NAN	
6.6	1.695	1.66	1.66	16.95	NAN	
6.7	1.725	2.15	2.15	17.25	NAN	
6.8	1.74	2.755	2.755	17.4	NAN	
6.9	1.77	3.62	3.62	17.7	NAN	
7	1.785	4.515	4.515	17.85	NAN	
7.1	1.815	5.565	5.565	18.15	NAN	
7.2	1.845	6.77	6.77	18.45	NAN	
7.3	1.875	8.005	8.005	18.75	NAN	
7.4	1.905	9.145	9.145	19.05	NAN	
7.5	1.92	9.805	9.805	19.2	NAN	
7.6	1.95	9.955	9.955	19.5	NAN	
7.7	1.98	9.45	9.45	19.8	NAN	
7.8	2.01	8.35	8.35	20.1	NAN	
7.9	2.025	6.825	6.825	20.25	NAN	
8	2.055	5.4	5.4	20.55	NAN	
8.1	2.07	4.195	4.195	20.7	NAN	
8.2	2.1	3.32	3.32	21	NAN	
8.3	2.13	2.835	2.835	21.3	NAN	
8.4	2.145	2.745	2.745	21.45	NAN	
8.5	2.175	2.84	2.84	21.75	NAN	
8.6	2.205	3.105	3.105	22.05	NAN	
8.7	2.235	3.71	3.71	22.35	NAN	
8.8	2.265	4.495	4.495	22.65	NAN	
8.9	2.28	5.58	5.58	22.8	NAN	
9	2.31	6.97	6.97	23.1	NAN	
9.1	2.34	8.53	8.53	23.4	NAN	
9.2	2.37	10.245	10.245	23.7	NAN	
9.3	2.4	10.245	10.245	24	NAN	
9.4	2.4	10.245	10.245	24	NAN	
9.5	2.43	10.245	10.245	24.3	NAN	
9.6	2.46	10.245	10.245	24.6	NAN	
9.7	2.49	10.245	10.245	24.9	NAN	
9.8	2.52	10.245	10.245	25.2	NAN	
9.9	2.535	10.245	10.245	25.35	NAN	
10	2.565	10.005	10.005	25.65	NAN	
10.1	2.595	8.59	8.59	25.95	NAN	
10.2	2.625	7.465	7.465	26.25	NAN	
10.3	2.64	6.77	6.77	26.4	NAN	
10.4	2.67	6.5	6.5	26.7	NAN	
10.5	2.7	6.455	6.455	27	NAN	
10.6	2.715	6.695	6.695	27.15	NAN	
10.7	2.745	7.23	7.23	27.45	NAN	
10.8	2.76	8.165	8.165	27.6	NAN	
10.9	2.79	9.49	9.49	27.9	NAN	
11	2.82	10.245	10.245	28.2	NAN	
11.1	2.85	10.245	10.245	28.5	NAN	
11.2	2.88	10.245	10.245	28.8	NAN	
11.3	2.895	10.245	10.245	28.95	NAN	
11.4	2.925	10.245	10.245	29.25	NAN	
11.5	2.955	10.245	10.245	29.55	NAN	
11.6	2.985	10.245	10.245	29.85	NAN	
11.7	3	10.245	10.245	30	NAN	
11.8	3.03	10.245	10.245	30.3	NAN	
11.9	3.045	10.245	10.245	30.45	NAN	
12	3.075	10.245	10.245	30.75	NAN	
12.1	3.105	10.245	10.245	31.05	NAN	
12.2	3.12	10.245	10.245	31.2	NAN	
12.3	3.15	10.245	10.245	31.5	NAN	
12.4	3.18	10.245	10.245	31.8	NAN	
12.5	3.195	10.245	10.245	31.95	NAN	
12.6	3.195	10.245	10.245	31.95	NAN	
12.7	3.195	10.245	10.245	31.95	NAN	
12.8	3.195	10.245	10.245	31.95	NAN	
12.9	3.195	10.245	10.245	31.95	NAN	
13	3.195	10.245	10.245	31.95	NAN	
13.1	3.195	10.245	10.245	31.95	NAN	
13.2	3.195	10.245	10.245	31.95	NAN	
13.3	3.195	10.245	10.245	31.95	NAN	
13.4	3.195	10.245	10.245	31.95	NAN	
13.5	3.195	10.245	10.245	31.95	NAN	
13.6	3.195	10.245	10.245	31.95	NAN	
