0,1,00:02.01,00:02.01,2.5,2
1,2,00:09.25,00:07.24,2.5,2
2,3,00:11.92,00:02.67,2.5,2
3,4,00:20.35,00:08.43,2.5,2
4,5,00:23.52,00:03.17,2.5,2
5,6,00:33.52,00:10.00,2.5,2
6,7,00:36.69,00:03.17,2.5,2
7,8,00:48.08,00:11.39,2.5,2
8,9,00:52.12,00:04.04,2.5,2
9,10,00:58.85,00:06.73,2.5,2
10,11,01:07.01,00:08.16,2.5,2
11,12,01:11.96,00:04.95,2.5,2
12,13,01:30.79,00:18.83,2.5,2
13,14,01:37.86,00:07.07,2.5,2
14,15,02:06.17,00:28.31,2.5,2
15,16,02:20.32,00:14.15,2.5,2
16,17,02:59.27,00:38.95,2.5,2
17,18,03:38.76,00:39.49,2.5,2
18,19,06:38.36,02:59.60,2.5,2
19,1,00:07.14,00:07.14,2.5,3
20,2,00:10.64,00:03.50,2.5,3
21,3,00:16.09,00:05.45,2.5,3
22,5,00:23.68,00:07.59,2.5,3
23,6,00:30.15,00:06.47,2.5,3
24,7,00:37.96,00:07.81,2.5,3
25,8,00:46.14,00:08.18,2.5,3
26,9,00:55.51,00:09.37,2.5,3
27,10,01:06.63,00:11.12,2.5,3
28,11,01:15.26,00:08.63,2.5,3
29,12,01:31.77,00:16.51,2.5,3
30,13,01:45.98,00:14.21,2.5,3
31,14,02:03.57,00:17.59,2.5,3
32,15,02:36.75,00:33.18,2.5,3
33,16,03:14.86,00:38.11,2.5,3
34,17,04:36.85,01:21.99,2.5,3
35,1,00:02.87,00:02.87,2.5,4
36,2,00:06.01,00:03.14,2.5,4
37,3,00:09.52,00:03.51,2.5,4
38,4,00:12.84,00:03.32,2.5,4
39,5,00:16.47,00:03.63,2.5,4
40,6,00:19.69,00:03.22,2.5,4
41,7,00:25.19,00:05.50,2.5,4
42,8,00:27.34,00:02.15,2.5,4
43,9,00:34.02,00:06.68,2.5,4
44,10,00:36.48,00:02.46,2.5,4
45,11,00:44.07,00:07.59,2.5,4
46,12,00:55.76,00:11.69,2.5,4
47,13,00:58.86,00:03.10,2.5,4
48,14,01:06.92,00:08.06,2.5,4
49,15,01:13.72,00:06.80,2.5,4
50,16,01:20.30,00:06.58,2.5,4
51,17,01:32.37,00:12.07,2.5,4
52,18,01:38.04,00:05.67,2.5,4
53,19,01:55.16,00:17.12,2.5,4
54,20,02:01.83,00:06.67,2.5,4
55,21,02:27.24,00:25.41,2.5,4
56,22,02:34.58,00:07.34,2.5,4
57,23,03:19.56,00:44.98,2.5,4
58,24,03:36.72,00:17.16,2.5,4
59,1,00:02.07,00:02.07,2.5,5
60,2,00:07.76,00:05.69,2.5,5
61,3,00:10.32,00:02.56,2.5,5
62,4,00:15.44,00:05.12,2.5,5
63,5,00:18.21,00:02.77,2.5,5
64,6,00:24.72,00:06.51,2.5,5
65,7,00:27.21,00:02.49,2.5,5
66,8,00:34.41,00:07.20,2.5,5
67,9,00:37.40,00:02.99,2.5,5
68,10,00:45.84,00:08.44,2.5,5
69,11,00:49.63,00:03.79,2.5,5
70,12,00:59.01,00:09.38,2.5,5
71,13,01:03.03,00:04.02,2.5,5
72,14,01:15.35,00:12.32,2.5,5
73,15,01:20.52,00:05.17,2.5,5
74,16,01:36.08,00:15.56,2.5,5
75,17,01:42.91,00:06.83,2.5,5
76,18,02:02.07,00:19.16,2.5,5
77,19,02:14.26,00:12.19,2.5,5
78,20,02:40.09,00:25.83,2.5,5
79,21,02:59.34,00:19.25,2.5,5
80,22,03:58.90,00:59.56,2.5,5
81,23,04:29.54,00:30.64,2.5,5
82,1,00:02.60,00:02.60,3,2
83,2,00:06.79,00:04.19,3,2
84,3,00:09.51,00:02.72,3,2
85,4,00:15.23,00:05.72,3,2
86,5,00:18.01,00:02.78,3,2
87,6,00:23.61,00:05.60,3,2
88,7,00:27.30,00:03.69,3,2
89,8,00:33.36,00:06.06,3,2
90,9,00:37.80,00:04.44,3,2
91,10,00:44.43,00:06.63,3,2
92,11,00:48.79,00:04.36,3,2
93,12,00:58.20,00:09.41,3,2
94,13,01:03.68,00:05.48,3,2
95,14,01:12.87,00:09.19,3,2
96,15,01:19.27,00:06.40,3,2
